"","Player","Pos","Age","Tm.x","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","Season","Cluster","first2$VORP","Tm.y","Index","Image"
"1","Al Wood","SG","23","TOT","3.7","7.9","0.47","0.1","0.5","0.125","3.7","7.4","0.493","0.474","1.9","2.5","0.782","1.1","1.7","2.8","1.2","0.6","0.2","1.5","2.3","9.5","0.524","0.063","0.312","6.3","10.7","8.4","9.1","1.6","0.6","14.1","22.5","1982","Ball Handlers",-0.3,"TOT","woodal01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/woodal01.jpg"
"2","Al Wood","SG","23","TOT","3.7","7.9","0.47","0.1","0.5","0.125","3.7","7.4","0.493","0.474","1.9","2.5","0.782","1.1","1.7","2.8","1.2","0.6","0.2","1.5","2.3","9.5","0.524","0.063","0.312","6.3","10.7","8.4","9.1","1.6","0.6","14.1","22.5","1982","Ball Handlers",-0.3,"ATL","woodal01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/woodal01.jpg"
"3","Al Wood","SG","23","TOT","3.7","7.9","0.47","0.1","0.5","0.125","3.7","7.4","0.493","0.474","1.9","2.5","0.782","1.1","1.7","2.8","1.2","0.6","0.2","1.5","2.3","9.5","0.524","0.063","0.312","6.3","10.7","8.4","9.1","1.6","0.6","14.1","22.5","1982","Ball Handlers",-0.3,"SDC","woodal01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/woodal01.jpg"
"4","Al Wood","SG","23","ATL","1.9","5.5","0.343","0","0.3","0","1.9","5.2","0.364","0.343","1.1","1.5","0.714","1.2","1.2","2.3","0.6","0.5","0.1","0.6","1.8","4.8","0.392","0.057","0.267","10.4","10.5","10.5","7","1.9","0.3","8.6","23.4","1982","Wing Scorers",-0.2,"TOT","woodal01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/woodal01.jpg"
"5","Al Wood","SG","23","ATL","1.9","5.5","0.343","0","0.3","0","1.9","5.2","0.364","0.343","1.1","1.5","0.714","1.2","1.2","2.3","0.6","0.5","0.1","0.6","1.8","4.8","0.392","0.057","0.267","10.4","10.5","10.5","7","1.9","0.3","8.6","23.4","1982","Wing Scorers",-0.2,"ATL","woodal01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/woodal01.jpg"
"6","Al Wood","SG","23","ATL","1.9","5.5","0.343","0","0.3","0","1.9","5.2","0.364","0.343","1.1","1.5","0.714","1.2","1.2","2.3","0.6","0.5","0.1","0.6","1.8","4.8","0.392","0.057","0.267","10.4","10.5","10.5","7","1.9","0.3","8.6","23.4","1982","Wing Scorers",-0.2,"SDC","woodal01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/woodal01.jpg"
"7","Al Wood","SG","23","SDC","4.9","9.5","0.518","0.1","0.6","0.167","4.8","8.9","0.543","0.524","2.5","3.1","0.802","1","2.1","3.1","1.6","0.8","0.3","2.1","2.6","12.5","0.573","0.065","0.33","4.9","10.8","7.7","9.8","1.5","0.7","16","22.1","1982","Ball Handlers",-0.1,"TOT","woodal01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/woodal01.jpg"
"8","Al Wood","SG","23","SDC","4.9","9.5","0.518","0.1","0.6","0.167","4.8","8.9","0.543","0.524","2.5","3.1","0.802","1","2.1","3.1","1.6","0.8","0.3","2.1","2.6","12.5","0.573","0.065","0.33","4.9","10.8","7.7","9.8","1.5","0.7","16","22.1","1982","Ball Handlers",-0.1,"ATL","woodal01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/woodal01.jpg"
"9","Al Wood","SG","23","SDC","4.9","9.5","0.518","0.1","0.6","0.167","4.8","8.9","0.543","0.524","2.5","3.1","0.802","1","2.1","3.1","1.6","0.8","0.3","2.1","2.6","12.5","0.573","0.065","0.33","4.9","10.8","7.7","9.8","1.5","0.7","16","22.1","1982","Ball Handlers",-0.1,"SDC","woodal01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/woodal01.jpg"
"10","Albert King","SF","22","NJN","5.1","10.7","0.482","0","0.2","0.231","5.1","10.5","0.486","0.483","1.8","2.3","0.778","1.4","2.7","4.1","1.9","0.8","0.5","2.4","3.4","12.1","0.517","0.016","0.211","6.9","14","10.4","12.8","1.8","1.2","16.9","25.1","1982","Ball Handlers",0.3,"NJN","kingal01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/kingal01.jpg"
