"","Player","Pos","Age","Tm.x","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","Season","Cluster","second2$VORP","Tm.y","Index","Image"
"1","A.C. Green","SF","32","PHO","2.6","5.4","0.484","0.2","0.6","0.269","2.5","4.8","0.513","0.5","2","2.9","0.709","2","4.7","6.8","0.9","0.5","0.3","1","1.7","7.5","0.558","0.117","0.534","9.2","20.9","15.2","4.9","1.1","0.8","12.6","13.2","1996","Bruiser Big Men",0.3,"PHO","greenac01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/greenac01.jpg"
"2","Aaron McKie","SG","23","POR","4.2","8.9","0.467","0.5","1.4","0.325","3.7","7.5","0.494","0.493","1.9","2.5","0.764","1.1","2.7","3.8","2.5","1.1","0.3","1.7","2.5","10.7","0.534","0.162","0.276","4.4","10.9","7.7","14.6","2.1","0.7","14.3","18.3","1996","Swingmen",1.7,"POR","mckieaa01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/mckieaa01.jpg"
"3","Acie Earl","C","25","TOR","2.8","6.6","0.424","0","0.1","0","2.8","6.5","0.429","0.424","2","2.7","0.719","1.2","1.9","3.1","0.6","0.4","0.9","1.2","1.7","7.5","0.484","0.011","0.413","9.2","14.3","11.7","6.9","1.4","4.3","13.1","25.2","1996","Bruiser Big Men",-0.7,"TOR","earlac01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/earlac01.jpg"
"4","Adam Keefe","PF","25","UTA","2.2","4.2","0.52","0","0","0","2.2","4.2","0.526","0.52","1.7","2.5","0.692","2.1","3.4","5.5","0.8","0.6","0.5","1.1","2.1","6.1","0.574","0.012","0.581","13","19.5","16.3","5.5","1.6","2","16.8","14","1996","Bruiser Big Men",1.5,"UTA","keefead01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/keefead01.jpg"
"5","Alan Henderson","PF","23","ATL","2.4","5.5","0.442","0","0","0","2.4","5.5","0.445","0.442","1.5","2.5","0.595","2.1","2.4","4.5","0.6","0.6","0.5","1.1","2.7","6.4","0.482","0.007","0.461","13.2","16.7","14.9","5.8","1.7","2.4","14.3","19.3","1996","Bruiser Big Men",-0.4,"ATL","hendeal01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/hendeal01.jpg"
"6","Allan Houston","SG","24","DET","6.9","15.2","0.453","2.3","5.5","0.427","4.5","9.7","0.468","0.53","3.6","4.4","0.823","0.7","3","3.7","3","0.7","0.2","2.8","2.8","19.7","0.576","0.359","0.291","2.2","9.3","5.9","15.5","1.1","0.4","14.2","25.4","1996","Ball Handlers",2.1,"DET","houstal01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/houstal01.jpg"
"7","Alton Lister","C","37","MIL","0.6","1.3","0.444","0","0","0","0.6","1.3","0.444","0.444","0.3","0.3","1","1","3.1","4.1","0.6","0","0.4","0.6","2.1","1.4","0.506","0","0.222","9.6","31.2","20.2","6.3","0","2.6","28.8","7.2","1996","Bruiser Big Men",-0.1,"MIL","listeal01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/listeal01.jpg"
"8","Alton Lister","C","37","MIL","0.6","1.3","0.444","0","0","0","0.6","1.3","0.444","0.444","0.3","0.3","1","1","3.1","4.1","0.6","0","0.4","0.6","2.1","1.4","0.506","0","0.222","9.6","31.2","20.2","6.3","0","2.6","28.8","7.2","1996","Bruiser Big Men",-0.1,"TOT","listeal01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/listeal01.jpg"
"9","Alton Lister","C","37","MIL","0.6","1.3","0.444","0","0","0","0.6","1.3","0.444","0.444","0.3","0.3","1","1","3.1","4.1","0.6","0","0.4","0.6","2.1","1.4","0.506","0","0.222","9.6","31.2","20.2","6.3","0","2.6","28.8","7.2","1996","Bruiser Big Men",-0.1,"BOS","listeal01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/listeal01.jpg"
"10","Alvin Robertson","SG","33","TOR","3.7","7.9","0.47","0.5","2","0.272","3.2","5.9","0.535","0.503","1.4","2.1","0.677","1.4","3","4.4","4.2","2.2","0.5","2.4","3.5","9.3","0.531","0.249","0.26","5.3","11.2","8.2","19.7","3.5","1.1","21.3","15.3","1996","Swingmen",1.7,"TOR","roberal01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/roberal01.jpg"
"11","Andrew Lang","C","29","MIN","3.6","8.6","0.421","0.1","0.1","0.5","3.6","8.5","0.42","0.424","1.5","1.9","0.789","2.1","4","6.1","0.2","0.4","2.1","1.5","3.2","8.8","0.466","0.012","0.222","9.1","17.2","13.2","0.9","0.7","5.7","13.8","17.5","1996","Bruiser Big Men",-0.6,"ATL","langan01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/langan01.jpg"
"12","Andrew Lang","C","29","MIN","3.6","8.6","0.421","0.1","0.1","0.5","3.6","8.5","0.42","0.424","1.5","1.9","0.789","2.1","4","6.1","0.2","0.4","2.1","1.5","3.2","8.8","0.466","0.012","0.222","9.1","17.2","13.2","0.9","0.7","5.7","13.8","17.5","1996","Bruiser Big Men",-0.6,"TOT","langan01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/langan01.jpg"
"13","Andrew Lang","C","29","MIN","3.6","8.6","0.421","0.1","0.1","0.5","3.6","8.5","0.42","0.424","1.5","1.9","0.789","2.1","4","6.1","0.2","0.4","2.1","1.5","3.2","8.8","0.466","0.012","0.222","9.1","17.2","13.2","0.9","0.7","5.7","13.8","17.5","1996","Bruiser Big Men",-0.6,"MIN","langan01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/langan01.jpg"
"14","Andrew Lang","C","29","ATL","5.5","12.1","0.454","0","0.1","0","5.5","12.1","0.456","0.454","1.9","2.3","0.805","2.2","4.4","6.5","1.2","0.7","1.7","1.8","3.5","12.9","0.49","0.005","0.191","6.9","15.1","10.9","5.7","1","3.6","12.3","18.9","1996","Bruiser Scorers",-0.1,"ATL","langan01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/langan01.jpg"
"15","Andrew Lang","C","29","ATL","5.5","12.1","0.454","0","0.1","0","5.5","12.1","0.456","0.454","1.9","2.3","0.805","2.2","4.4","6.5","1.2","0.7","1.7","1.8","3.5","12.9","0.49","0.005","0.191","6.9","15.1","10.9","5.7","1","3.6","12.3","18.9","1996","Bruiser Scorers",-0.1,"TOT","langan01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/langan01.jpg"
"16","Andrew Lang","C","29","ATL","5.5","12.1","0.454","0","0.1","0","5.5","12.1","0.456","0.454","1.9","2.3","0.805","2.2","4.4","6.5","1.2","0.7","1.7","1.8","3.5","12.9","0.49","0.005","0.191","6.9","15.1","10.9","5.7","1","3.6","12.3","18.9","1996","Bruiser Scorers",-0.1,"MIN","langan01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/langan01.jpg"
"17","Andrew Lang","C","29","TOT","5","11.1","0.447","0","0.1","0.2","5","11.1","0.448","0.447","1.8","2.2","0.801","2.2","4.3","6.4","0.9","0.6","1.8","1.7","3.4","11.7","0.484","0.006","0.197","7.5","15.6","11.4","4.6","0.9","4.1","12.6","18.6","1996","Bruiser Scorers",-0.7,"ATL","langan01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/langan01.jpg"
"18","Andrew Lang","C","29","TOT","5","11.1","0.447","0","0.1","0.2","5","11.1","0.448","0.447","1.8","2.2","0.801","2.2","4.3","6.4","0.9","0.6","1.8","1.7","3.4","11.7","0.484","0.006","0.197","7.5","15.6","11.4","4.6","0.9","4.1","12.6","18.6","1996","Bruiser Scorers",-0.7,"TOT","langan01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/langan01.jpg"
"19","Andrew Lang","C","29","TOT","5","11.1","0.447","0","0.1","0.2","5","11.1","0.448","0.447","1.8","2.2","0.801","2.2","4.3","6.4","0.9","0.6","1.8","1.7","3.4","11.7","0.484","0.006","0.197","7.5","15.6","11.4","4.6","0.9","4.1","12.6","18.6","1996","Bruiser Scorers",-0.7,"MIN","langan01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/langan01.jpg"
"20","Anfernee Hardaway","PG","24","ORL","7.6","14.8","0.513","1.1","3.5","0.314","6.5","11.4","0.573","0.549","5.4","7.1","0.767","1.6","2.7","4.3","7.1","2","0.5","2.8","2","21.7","0.605","0.233","0.477","5.1","8.5","6.8","32.2","2.9","1","13.5","25.5","1996","Ball Handlers",6.4,"ORL","hardaan01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/hardaan01.jpg"
"21","Anthony Avent","PF","26","VAN","2.5","6.6","0.384","0","0","0","2.5","6.6","0.384","0.384","0.8","1.1","0.74","1.5","3.5","5","1","0.4","0.6","1.5","2.8","5.8","0.415","0","0.165","7.7","18.9","13.1","7.4","1","2","17.6","17.5","1996","Bruiser Big Men",-1.7,"VAN","aventan01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/aventan01.jpg"
"22","Anthony Bowie","SG","32","ORL","1.7","3.7","0.471","0.2","0.4","0.387","1.6","3.3","0.481","0.493","0.5","0.6","0.87","0.5","1.1","1.7","1.4","0.5","0.1","0.7","1.5","4.2","0.527","0.114","0.169","4.4","8.8","6.6","14.2","1.6","0.7","15.8","14.6","1996","Wing Scorers",-0.3,"ORL","bowiean01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/bowiean01.jpg"
"23","Anthony Goldwire","PG","24","CHH","1.8","4.5","0.402","0.8","2","0.398","1","2.5","0.406","0.489","1.1","1.4","0.767","0.2","0.8","1","2.7","0.4","0","1.5","1.9","5.5","0.536","0.439","0.317","1.5","7","4.2","27.4","1.4","0","22.6","20.3","1996","Wing Scorers",-0.5,"CHH","goldwan01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/goldwan01.jpg"
"24","Anthony Mason","SF","29","NYK","5.5","9.7","0.563","0","0","0","5.5","9.7","0.563","0.563","3.6","5","0.72","2.7","6.6","9.3","4.4","0.8","0.4","2.6","3","14.6","0.61","0","0.519","7.8","18.1","13.1","16.7","1.1","0.8","17.7","16.1","1996","Bruiser Scorers",4.9,"NYK","masonan01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/masonan01.jpg"
"25","Anthony Peeler","SG","26","LAL","3.7","8.2","0.452","1.4","3.5","0.413","2.3","4.8","0.48","0.539","0.8","1.2","0.709","0.6","1.3","1.9","1.6","0.8","0.1","0.8","1.9","9.7","0.555","0.422","0.143","3.3","6.5","5","11.3","1.9","0.4","8","19.4","1996","Swingmen",0.8,"LAL","peelean01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/peelean01.jpg"
"26","Antoine Carr","SF","34","UTA","2.9","6.4","0.457","0","0","0","2.9","6.3","0.46","0.457","1.4","1.8","0.792","0.9","1.6","2.5","0.9","0.4","0.8","1","3.2","7.3","0.506","0.006","0.282","5.8","10.1","8","7.6","1","3.5","12","19.5","1996","Bruiser Big Men",0,"UTA","carran01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/carran01.jpg"
