"","Player","Pos","Age","Tm.x","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","Season","Cluster","third2$VORP","Tm.y","Index","Image"
"1","Aaron Brooks","PG","31","CHI","2.7","6.8","0.401","1","2.7","0.357","1.8","4.1","0.43","0.471","0.7","0.9","0.766","0.3","1.2","1.5","2.6","0.4","0.1","1.2","1.9","7.1","0.494","0.394","0.136","2","7.5","4.8","26","1.4","0.7","14.2","22.9","2016","Sharpshooters",-0.4,"CHI","brookaa01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/brookaa01.jpg"
"2","Aaron Gordon","PF","20","ORL","3.5","7.4","0.473","0.5","1.8","0.296","3","5.6","0.531","0.509","1.7","2.5","0.668","2","4.5","6.5","1.6","0.8","0.7","0.8","2","9.2","0.541","0.245","0.333","9","21.3","15.1","10.3","1.6","2.4","9","17.3","2016","Bruiser Big Men",1.8,"ORL","gordoaa01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/gordoaa01.jpg"
"3","Al Horford","C","29","ATL","6.5","12.8","0.505","1.1","3.1","0.344","5.4","9.7","0.557","0.547","1.3","1.6","0.798","1.8","5.5","7.3","3.2","0.8","1.5","1.3","2","15.2","0.565","0.244","0.123","6.3","18.2","12.4","16.7","1.3","3.6","8.8","20.6","2016","Big Men",4.1,"ATL","horfoal01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/horfoal01.jpg"
"4","Al Jefferson","C","31","CHO","5.2","10.7","0.485","0","0","0","5.2","10.7","0.485","0.485","1.5","2.4","0.649","1.2","5.2","6.4","1.5","0.6","0.9","0.7","2.5","12","0.507","0","0.22","5.6","24.6","15","11.8","1.4","3","5.8","24.2","2016","Big Men",0.2,"CHO","jeffeal01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/jeffeal01.jpg"
"5","Al-Farouq Aminu","SF","25","POR","3.6","8.8","0.416","1.5","4.3","0.361","2.1","4.5","0.468","0.503","1.4","1.9","0.737","1.2","4.9","6.1","1.7","0.9","0.6","1.5","2.1","10.2","0.533","0.485","0.217","4.5","18.6","11.5","8.8","1.5","1.8","13.2","16.9","2016","Wing Scorers",1.3,"POR","aminual01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/aminual01.jpg"
"6","Alan Anderson","SG","33","WAS","1.6","4.5","0.356","0.9","2.8","0.324","0.7","1.7","0.409","0.458","0.8","1.2","0.733","0.1","2","2.1","1.1","0.3","0.1","0.2","1.9","5","0.495","0.627","0.254","0.6","15.5","7.9","10.3","1","0.4","3","15.4","2016","Sharpshooters",0,"WAS","anderal01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/anderal01.jpg"
"7","Alec Burks","SG","24","UTA","4.4","10.8","0.41","1","2.5","0.405","3.4","8.2","0.412","0.458","3.4","4.5","0.752","0.5","3","3.5","2","0.6","0.1","1.6","2.3","13.3","0.52","0.237","0.422","2.4","13.6","8","13.9","1.2","0.4","11.4","25.9","2016","Wing Scorers",-0.1,"UTA","burksal01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/burksal01.jpg"
"8","Alex Len","C","22","PHO","3.4","8","0.423","0","0.1","0.143","3.4","7.9","0.426","0.424","2.2","3.1","0.728","2.3","5.3","7.6","1.2","0.5","0.8","1.9","2.9","9","0.482","0.011","0.383","10.4","25.4","17.7","8.5","1","2.8","16.6","20.4","2016","Bruiser Big Men",-0.7,"PHO","lenal01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/lenal01.jpg"
"9","Alex Stepheson","PF","28","MEM","2","6.5","0.308","0","0","0","2","6.5","0.308","0.308","1","2.5","0.4","4.5","2","6.5","0.5","0.3","0.8","0","2","5","0.329","0","0.385","32.3","15.6","24.3","5.2","0.8","4.6","0","22.4","2016","Bruiser Big Men",0,"MEM","stephal01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/stephal01.jpg"
"10","Alex Stepheson","PF","28","MEM","2","6.5","0.308","0","0","0","2","6.5","0.308","0.308","1","2.5","0.4","4.5","2","6.5","0.5","0.3","0.8","0","2","5","0.329","0","0.385","32.3","15.6","24.3","5.2","0.8","4.6","0","22.4","2016","Bruiser Big Men",0,"TOT","stephal01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/stephal01.jpg"
